PublishDate,Sentence,Score
2018-03-01T07:23:00.000Z,傳產股方面，油價連2日走跌衝擊塑化股表現，台塑四寶台化 (1326) 、台塑 (1301) 、南亞 (1303) 、台塑化 (6505) 全面下挫；貨櫃雙雄陽明 (2609) 及長榮 (2603) 受惠市況好轉及業績報捷，股價雙雙高飛；鋼鐵股受到鋼價第二季續漲確定，中鋼 (2002) 、中鴻 (2014) 、官田鋼 (2017) 、志聯 (2024) 等漲勢凌厲。,5
2018-03-01T06:28:00.000Z,台塑四寶全面走跌，台塑 (1301) 、南亞 (1303) 、台塑化 (6505) 、台化 (1326) 等跌幅均在2%~2.5%，壓抑大盤表現，其餘二線塑化股方面，中石化 (1314) 、台達化 (1309) 、華夏 (1305) 、國喬 (1312) 等亦同步走跌。,-3
2018-03-01T02:45:00.000Z,   美國上週原油庫存上升幅度高於預期，產量創下高點，使得油價已連續2天呈現走跌，首當其衝的就是塑化股，台塑四寶全面走低，平均跌幅達2%，其中又以台化 (1326) 下挫約3.5%跌幅最深，也成為壓抑大盤指數的壓力之一。,-2
2018-03-02T07:18:00.000Z,　受到國際股市重挫影響，權值股今日普遍承壓，蘋概股天王大立光 (3008) 、台積電 (2330) 、鴻海 (2317) 及台塑四寶台塑 (1301) 、南亞 (1303) 、台化 (1326) 、台塑化 (6505) 與金控雙雄富邦金 (2881) 、國泰金 (2882) 同步走疲。,-1
2018-03-01T07:23:00.000Z,傳產股方面，油價連2日走跌衝擊塑化股表現，台塑四寶台化 (1326) 、台塑 (1301) 、南亞 (1303) 、台塑化 (6505) 全面下挫；貨櫃雙雄陽明 (2609) 及長榮 (2603) 受惠市況好轉及業績報捷，股價雙雙高飛；鋼鐵股受到鋼價第二季續漲確定，中鋼 (2002) 、中鴻 (2014) 、官田鋼 (2017) 、志聯 (2024) 等漲勢凌厲。,5
2018-03-01T06:28:00.000Z,台塑四寶全面走跌，台塑 (1301) 、南亞 (1303) 、台塑化 (6505) 、台化 (1326) 等跌幅均在2%~2.5%，壓抑大盤表現，其餘二線塑化股方面，中石化 (1314) 、台達化 (1309) 、華夏 (1305) 、國喬 (1312) 等亦同步走跌。,-3
2018-03-01T02:45:00.000Z,   美國上週原油庫存上升幅度高於預期，產量創下高點，使得油價已連續2天呈現走跌，首當其衝的就是塑化股，台塑四寶全面走低，平均跌幅達2%，其中又以台化 (1326) 下挫約3.5%跌幅最深，也成為壓抑大盤指數的壓力之一。,-2
2018-03-02T07:18:00.000Z,　受到國際股市重挫影響，權值股今日普遍承壓，蘋概股天王大立光 (3008) 、台積電 (2330) 、鴻海 (2317) 及台塑四寶台塑 (1301) 、南亞 (1303) 、台化 (1326) 、台塑化 (6505) 與金控雙雄富邦金 (2881) 、國泰金 (2882) 同步走疲。,-1
2018-03-05T07:11:00.000Z,台塑四寶股利超甜，配息上看1780億元，台塑 (1301) 、南亞 (1303) 、台化 (1326) 股價相對有撐。,1
2018-03-20T07:15:00.000Z,臉書股價暴跌引發科技股賣壓，拖累周一美股三大指數重挫，台股早盤跟隨亞股腳步同步開低，在蘋概股三天王大立光 (3008) 、台積電 (2330) 、鴻海 (2317) 同步走弱下，多頭信心渙散，指數一度下探10981.04點，跌落11000點並摔出五日線，惟權值股聯發科 (2454) 、台塑 (1301) 、台化 (1326) 以及被動元件、挖礦概念與具轉機LED等題材股力挺多方，使多空於11000點拔河，終場加權指數下跌36.06點為11010.84點，守住11000點大關，成交值為1096.87億元。,-7
2018-03-30T02:44:00.000Z,  傳產及金融權值股今日亦有表現，由中鋼 （2002） 漲逾1％最強，國泰金 （2882） 、中信金 （2891） 、兆豐金 （2886） 、統一 （1216） 、統一超 （2912） 漲近1％，僅台化 （1326） 開高後拉回平盤上下震盪，盤中跌近1％表現相對較弱。,1
2018-03-30T02:44:00.000Z,  傳產及金融權值股今日亦有表現，由中鋼 （2002） 漲逾1％最強，國泰金 （2882） 、中信金 （2891） 、兆豐金 （2886） 、統一 （1216） 、統一超 （2912） 漲近1％，僅台化 （1326） 開高後拉回平盤上下震盪，盤中跌近1％表現相對較弱。,1
